epoch,step,test_loss,train_loss,val_loss
0,1070,,,0.5709039568901062
0,1070,,0.5663982033729553,
1,2141,,,0.5616570115089417
1,2141,,0.5257753729820251,
2,3212,,,0.5543630719184875
2,3212,,0.5139804482460022,
3,4283,,,0.5671900510787964
3,4283,,0.5031310319900513,
4,5354,,,0.5504716634750366
4,5354,,0.4971160292625427,
5,6425,,,0.5657973885536194
5,6425,,0.4943176805973053,
6,7496,,,0.5604578256607056
6,7496,,0.49151936173439026,
7,8567,,,0.5745556950569153
7,8567,,0.48776766657829285,
8,9638,,,0.5874396562576294
8,9638,,0.4852672219276428,
9,10709,,,0.5611280202865601
9,10709,,0.48324742913246155,
10,11780,,,0.5896613001823425
10,11780,,0.4801423251628876,
11,12851,,,0.5982323288917542
11,12851,,0.47796547412872314,
12,13922,,,0.5723488926887512
12,13922,,0.4792572855949402,
13,14993,,,0.5774412751197815
13,14993,,0.47698479890823364,
14,16064,,,0.5814629793167114
14,16064,,0.4740915298461914,
15,16065,0.6002923846244812,,
