epoch,from_scratch (language),megxl_eeg1 (language),megxl_eeg2 (language)
0,4.759015083312988,4.700068473815918,4.700084209442139
1,4.724356651306152,4.673748970031738,4.673781871795654
2,4.700112342834473,4.655611038208008,4.655703067779541
3,4.684215068817139,4.644051551818848,4.64401388168335
4,4.671308517456055,4.634809494018555,4.634953498840332
5,4.658672332763672,4.624752044677734,4.624540328979492
6,4.646839618682861,4.614666938781738,4.614726543426514
7,4.636586666107178,4.6072564125061035,4.607300758361816
8,4.626548767089844,4.598957538604736,4.598727703094482
9,4.619045734405518,4.592367172241211,4.592297554016113
10,4.608856678009033,4.5831074714660645,4.5831756591796875
11,4.603767395019531,4.57901668548584,4.5789642333984375
12,4.596529960632324,4.572688579559326,4.572678565979004
13,4.5905680656433105,4.567238807678223,4.567056655883789
14,4.582142353057861,4.5599045753479,4.559685707092285
15,4.576053619384766,4.554059982299805,4.553955554962158
16,4.568361282348633,4.546356678009033,4.5463151931762695
17,4.561729431152344,4.540802478790283,4.540738582611084
18,4.554375648498535,4.534039497375488,4.533838272094727
19,4.550086498260498,4.530090808868408,4.5297322273254395
20,4.5422444343566895,4.522180557250977,4.522130489349365
21,4.53472900390625,4.51567268371582,4.515452861785889
22,4.527630805969238,4.509275913238525,4.509157657623291
23,4.520974159240723,4.503456115722656,4.503306865692139
24,4.513210296630859,4.495446681976318,4.495320796966553
25,4.507556438446045,4.490417003631592,4.489893913269043
26,4.500091552734375,4.482979774475098,4.482885360717773
27,4.492832660675049,4.477021217346191,4.476690292358398
28,4.483930587768555,4.468327045440674,4.4683837890625
29,4.476668357849121,4.459766864776611,4.45974063873291
30,4.473334312438965,4.457839012145996,4.4577956199646
31,4.462612628936768,4.447452545166016,4.447500705718994
32,4.4554057121276855,4.441110134124756,4.441328525543213
33,4.448548793792725,4.4342451095581055,4.43435001373291
34,4.438045501708984,4.425098896026611,4.425361633300781
35,4.431791305541992,4.419099807739258,4.419026851654053
36,4.424805164337158,4.412543296813965,4.412642002105713
37,4.41818904876709,4.406633377075195,4.406347751617432
38,4.410669326782227,4.3977885246276855,4.397925853729248
39,4.404174327850342,4.393793106079102,4.393657684326172
40,4.400232791900635,4.388060569763184,4.387777805328369
41,4.39224100112915,4.3827314376831055,4.382346153259277
42,4.386651515960693,4.375987529754639,4.376496315002441
43,4.384343147277832,4.374054908752441,4.374361038208008
44,4.378834247589111,4.369197845458984,4.369184970855713
45,4.375844478607178,4.366326332092285,4.366105079650879
46,4.371638774871826,4.362538814544678,4.362529754638672
47,4.372076988220215,4.363917827606201,4.363727569580078
48,4.369129180908203,4.360245704650879,4.360621452331543
49,4.367116928100586,4.357787609100342,4.3579325675964355
