epoch,from_scratch (reading),megxl_eeg1 (reading),megxl_eeg2 (reading)
0,5.237966060638428,4.830238342285156,4.83024263381958
1,5.148042678833008,4.8020548820495605,4.802077293395996
2,5.12347412109375,4.7898969650268555,4.789872646331787
3,5.098936557769775,4.780984878540039,4.781098365783691
4,5.069370269775391,4.7742462158203125,4.774452209472656
5,5.013006687164307,4.766637802124023,4.766563415527344
6,4.965745449066162,4.76332950592041,4.763301849365234
7,4.935541152954102,4.758416652679443,4.758386135101318
8,4.911673545837402,4.75320291519165,4.753288745880127
9,4.8883280754089355,4.747837543487549,4.7478508949279785
10,4.869358062744141,4.7431111335754395,4.743030548095703
11,4.853491306304932,4.739880561828613,4.739804267883301
12,4.837024688720703,4.73525857925415,4.735267639160156
13,4.826127529144287,4.731392860412598,4.73140811920166
14,4.818226337432861,4.730175018310547,4.7301483154296875
15,4.806662559509277,4.725925922393799,4.725946426391602
16,4.799704074859619,4.7227888107299805,4.7227277755737305
17,4.790175437927246,4.71812629699707,4.7181830406188965
18,4.783056735992432,4.715642929077148,4.715655326843262
19,4.7766218185424805,4.711881637573242,4.711850643157959
20,4.772736549377441,4.7105302810668945,4.710522174835205
21,4.764302730560303,4.706057071685791,4.706067085266113
22,4.759517669677734,4.703783988952637,4.703778266906738
23,4.755126476287842,4.701375961303711,4.701350688934326
24,4.750922679901123,4.698636531829834,4.698652744293213
25,4.74542236328125,4.6951751708984375,4.695174694061279
26,4.742218971252441,4.693879127502441,4.693884372711182
27,4.738589763641357,4.6909356117248535,4.690933704376221
28,4.734170436859131,4.688079833984375,4.688077449798584
29,4.7315449714660645,4.687315940856934,4.687314510345459
30,4.72706413269043,4.68395471572876,4.683955192565918
31,4.7244696617126465,4.681858062744141,4.681847095489502
32,4.721251010894775,4.679696559906006,4.679698944091797
33,4.717222213745117,4.67662239074707,4.676624298095703
34,4.715179920196533,4.675555229187012,4.6755547523498535
35,4.712491035461426,4.673472881317139,4.673474311828613
36,4.70991325378418,4.672128200531006,4.672128677368164
37,4.707874298095703,4.670627117156982,4.670619964599609
38,4.7047038078308105,4.668275833129883,4.668278694152832
39,4.702990531921387,4.667038917541504,4.667044639587402
40,4.701809883117676,4.666557788848877,4.666555881500244
41,4.699642181396484,4.664956569671631,4.664966106414795
42,4.697332382202148,4.662717819213867,4.662712574005127
43,4.697414398193359,4.663421630859375,4.663418769836426
44,4.696017742156982,4.662222385406494,4.662214279174805
45,4.694900989532471,4.66111946105957,4.661112308502197
46,4.6936354637146,4.660099029541016,4.6601057052612305
47,4.6949381828308105,4.6615400314331055,4.661538600921631
48,4.693966388702393,4.660918712615967,4.660917282104492
49,4.693291664123535,4.66040563583374,4.660403251647949
